,filename,BBOX_Y2,BBOX_X1,BBOX_Y1,BBOX_X2,ClassID,TestSet,ClassName
29,000030.jpg,5,14,93,58,1,0,AM General Hummer SUV 2000
30,000031.jpg,125,645,1845,1421,1,0,AM General Hummer SUV 2000
31,000032.jpg,20,48,385,283,1,0,AM General Hummer SUV 2000
32,000033.jpg,51,73,570,426,1,0,AM General Hummer SUV 2000
33,000034.jpg,79,469,1537,1198,1,0,AM General Hummer SUV 2000
34,000035.jpg,18,18,328,190,1,0,AM General Hummer SUV 2000
35,000036.jpg,13,235,2021,1253,1,0,AM General Hummer SUV 2000
36,000037.jpg,6,20,123,88,1,0,AM General Hummer SUV 2000
37,000038.jpg,26,25,283,157,1,0,AM General Hummer SUV 2000
38,000039.jpg,61,98,458,376,1,0,AM General Hummer SUV 2000
39,000040.jpg,111,213,907,683,1,0,AM General Hummer SUV 2000
40,000041.jpg,178,214,901,658,1,0,AM General Hummer SUV 2000
41,000042.jpg,9,14,490,368,1,0,AM General Hummer SUV 2000
42,000043.jpg,28,48,663,302,1,0,AM General Hummer SUV 2000
43,000044.jpg,4,9,96,88,1,0,AM General Hummer SUV 2000
44,000045.jpg,6,7,94,68,1,0,AM General Hummer SUV 2000
45,000046.jpg,14,16,268,169,1,1,AM General Hummer SUV 2000
46,000047.jpg,10,18,89,61,1,1,AM General Hummer SUV 2000
47,000048.jpg,111,54,365,190,1,1,AM General Hummer SUV 2000
48,000049.jpg,9,33,479,276,1,1,AM General Hummer SUV 2000
49,000050.jpg,9,3,93,41,1,1,AM General Hummer SUV 2000
50,000051.jpg,15,10,128,76,1,1,AM General Hummer SUV 2000
51,000052.jpg,11,60,796,535,1,1,AM General Hummer SUV 2000
52,000053.jpg,92,93,585,399,1,1,AM General Hummer SUV 2000
53,000054.jpg,5,9,87,61,1,1,AM General Hummer SUV 2000
54,000055.jpg,8,5,85,69,1,1,AM General Hummer SUV 2000
55,000056.jpg,70,94,439,341,1,1,AM General Hummer SUV 2000
56,000057.jpg,87,6,552,348,1,1,AM General Hummer SUV 2000
57,000058.jpg,28,14,118,80,1,1,AM General Hummer SUV 2000
58,000059.jpg,11,8,106,80,1,1,AM General Hummer SUV 2000
59,000060.jpg,53,108,544,413,1,1,AM General Hummer SUV 2000
60,000061.jpg,31,12,270,160,1,1,AM General Hummer SUV 2000
61,000062.jpg,4,13,145,109,1,1,AM General Hummer SUV 2000
62,000063.jpg,8,12,135,83,1,1,AM General Hummer SUV 2000
63,000064.jpg,11,16,135,93,1,1,AM General Hummer SUV 2000
64,000065.jpg,28,117,415,274,1,1,AM General Hummer SUV 2000
65,000066.jpg,45,39,729,414,1,1,AM General Hummer SUV 2000
66,000067.jpg,3,3,639,480,1,1,AM General Hummer SUV 2000
67,000068.jpg,18,30,133,93,1,1,AM General Hummer SUV 2000
68,000069.jpg,24,141,721,396,1,1,AM General Hummer SUV 2000
69,000070.jpg,31,20,226,119,1,1,AM General Hummer SUV 2000
70,000071.jpg,17,23,240,135,1,1,AM General Hummer SUV 2000
71,000072.jpg,6,20,137,73,1,1,AM General Hummer SUV 2000
72,000073.jpg,111,177,920,642,1,1,AM General Hummer SUV 2000
73,000074.jpg,32,69,487,316,1,1,AM General Hummer SUV 2000
74,000075.jpg,2,7,102,57,1,1,AM General Hummer SUV 2000
75,000076.jpg,26,62,763,504,1,1,AM General Hummer SUV 2000
76,000077.jpg,46,115,623,469,1,1,AM General Hummer SUV 2000
77,000078.jpg,25,123,589,421,1,1,AM General Hummer SUV 2000
78,000079.jpg,20,79,654,425,1,1,AM General Hummer SUV 2000
79,000080.jpg,5,14,160,114,1,1,AM General Hummer SUV 2000
80,000081.jpg,62,73,718,441,1,1,AM General Hummer SUV 2000
81,000082.jpg,5,4,136,87,1,1,AM General Hummer SUV 2000
82,000083.jpg,67,98,283,213,1,1,AM General Hummer SUV 2000
83,000084.jpg,40,60,354,237,1,1,AM General Hummer SUV 2000
84,000085.jpg,12,18,113,78,1,1,AM General Hummer SUV 2000
85,000086.jpg,26,72,774,480,1,1,AM General Hummer SUV 2000
86,000087.jpg,24,1,368,199,1,1,AM General Hummer SUV 2000
87,000088.jpg,2,13,160,120,1,1,AM General Hummer SUV 2000
88,000089.jpg,11,13,84,60,1,1,AM General Hummer SUV 2000
89,000090.jpg,434,441,1805,1126,2,0,Acura RL Sedan 2012
90,000091.jpg,104,183,842,608,2,0,Acura RL Sedan 2012
91,000092.jpg,7,133,716,444,2,0,Acura RL Sedan 2012
92,000093.jpg,8,29,444,213,2,0,Acura RL Sedan 2012
93,000094.jpg,150,102,877,444,2,0,Acura RL Sedan 2012
94,000095.jpg,139,416,1954,1149,2,0,Acura RL Sedan 2012
95,000096.jpg,2,24,288,129,2,0,Acura RL Sedan 2012
96,000097.jpg,115,63,817,324,2,0,Acura RL Sedan 2012
97,000098.jpg,84,189,573,376,2,0,Acura RL Sedan 2012
98,000099.jpg,13,256,769,532,2,0,Acura RL Sedan 2012
99,000100.jpg,30,16,430,215,2,0,Acura RL Sedan 2012
100,000101.jpg,32,32,438,394,2,0,Acura RL Sedan 2012
101,000102.jpg,16,115,445,269,2,0,Acura RL Sedan 2012
102,000103.jpg,34,53,270,139,2,0,Acura RL Sedan 2012
103,000104.jpg,179,177,753,452,2,0,Acura RL Sedan 2012
104,000105.jpg,68,93,440,317,2,0,Acura RL Sedan 2012
105,000106.jpg,139,172,690,431,2,0,Acura RL Sedan 2012
106,000107.jpg,60,166,614,425,2,0,Acura RL Sedan 2012
107,000108.jpg,8,37,294,150,2,0,Acura RL Sedan 2012
108,000109.jpg,36,40,261,174,2,0,Acura RL Sedan 2012
109,000110.jpg,130,10,839,346,2,0,Acura RL Sedan 2012
110,000111.jpg,23,134,619,349,2,0,Acura RL Sedan 2012
111,000112.jpg,45,22,745,514,2,0,Acura RL Sedan 2012
112,000113.jpg,10,34,242,126,2,0,Acura RL Sedan 2012
113,000114.jpg,18,63,445,267,2,0,Acura RL Sedan 2012
114,000115.jpg,56,95,627,368,2,0,Acura RL Sedan 2012
115,000116.jpg,73,163,674,401,2,0,Acura RL Sedan 2012
116,000117.jpg,97,49,455,326,2,0,Acura RL Sedan 2012
117,000118.jpg,45,68,426,253,2,0,Acura RL Sedan 2012
118,000119.jpg,20,16,449,300,2,0,Acura RL Sedan 2012
119,000120.jpg,38,92,420,241,2,0,Acura RL Sedan 2012
120,000121.jpg,18,141,603,367,2,0,Acura RL Sedan 2012
121,000122.jpg,108,147,675,434,2,1,Acura RL Sedan 2012
122,000123.jpg,85,43,731,324,2,1,Acura RL Sedan 2012
123,000124.jpg,208,97,909,447,2,1,Acura RL Sedan 2012
124,000125.jpg,24,55,588,405,2,1,Acura RL Sedan 2012
125,000126.jpg,27,82,618,400,2,1,Acura RL Sedan 2012
126,000127.jpg,97,7,888,336,2,1,Acura RL Sedan 2012
127,000128.jpg,24,38,427,277,2,1,Acura RL Sedan 2012
128,000129.jpg,30,11,269,196,2,1,Acura RL Sedan 2012
129,000130.jpg,51,51,441,289,2,1,Acura RL Sedan 2012
130,000131.jpg,186,151,459,347,2,1,Acura RL Sedan 2012
131,000132.jpg,56,114,638,448,2,1,Acura RL Sedan 2012
132,000133.jpg,12,33,292,171,2,1,Acura RL Sedan 2012
133,000134.jpg,2,104,300,203,2,1,Acura RL Sedan 2012
134,000135.jpg,32,96,565,362,2,1,Acura RL Sedan 2012
135,000136.jpg,29,55,279,177,2,1,Acura RL Sedan 2012
136,000137.jpg,14,98,536,299,2,1,Acura RL Sedan 2012
137,000138.jpg,73,84,516,306,2,1,Acura RL Sedan 2012
138,000139.jpg,42,103,451,277,2,1,Acura RL Sedan 2012
139,000140.jpg,41,161,449,337,2,1,Acura RL Sedan 2012
140,000141.jpg,76,111,580,458,2,1,Acura RL Sedan 2012
141,000142.jpg,51,90,460,247,2,1,Acura RL Sedan 2012
142,000143.jpg,129,32,861,602,2,1,Acura RL Sedan 2012
143,000144.jpg,13,82,691,432,2,1,Acura RL Sedan 2012
144,000145.jpg,13,165,583,417,2,1,Acura RL Sedan 2012
145,000146.jpg,28,27,397,217,2,1,Acura RL Sedan 2012
146,000147.jpg,214,492,1345,967,2,1,Acura RL Sedan 2012
147,000148.jpg,115,322,1085,674,2,1,Acura RL Sedan 2012
148,000149.jpg,129,213,899,614,2,1,Acura RL Sedan 2012
149,000150.jpg,11,87,470,268,2,1,Acura RL Sedan 2012
150,000151.jpg,37,30,292,190,2,1,Acura RL Sedan 2012
151,000152.jpg,85,245,713,472,2,1,Acura RL Sedan 2012
152,000153.jpg,30,35,619,350,2,1,Acura RL Sedan 2012
153,000154.jpg,29,75,271,168,3,0,Acura TL Sedan 2012
154,000155.jpg,13,35,250,153,3,0,Acura TL Sedan 2012
155,000156.jpg,10,24,254,158,3,0,Acura TL Sedan 2012
156,000157.jpg,10,86,614,383,3,0,Acura TL Sedan 2012
157,000158.jpg,36,116,868,587,3,0,Acura TL Sedan 2012
158,000159.jpg,57,236,881,569,3,0,Acura TL Sedan 2012
159,000160.jpg,147,125,471,426,3,0,Acura TL Sedan 2012
160,000161.jpg,18,84,478,307,3,0,Acura TL Sedan 2012
161,000162.jpg,47,100,605,371,3,0,Acura TL Sedan 2012
162,000163.jpg,131,124,537,329,3,0,Acura TL Sedan 2012
163,000164.jpg,33,115,576,346,3,0,Acura TL Sedan 2012
164,000165.jpg,108,201,706,429,3,0,Acura TL Sedan 2012
165,000166.jpg,48,41,511,237,3,0,Acura TL Sedan 2012
166,000167.jpg,83,93,686,425,3,0,Acura TL Sedan 2012
167,000168.jpg,37,77,582,342,3,0,Acura TL Sedan 2012
168,000169.jpg,25,55,277,150,3,0,Acura TL Sedan 2012
169,000170.jpg,13,115,787,440,3,0,Acura TL Sedan 2012
170,000171.jpg,55,95,563,320,3,0,Acura TL Sedan 2012
171,000172.jpg,52,46,487,247,3,0,Acura TL Sedan 2012
172,000173.jpg,60,91,588,373,3,0,Acura TL Sedan 2012
173,000174.jpg,8,80,250,184,3,0,Acura TL Sedan 2012
174,000175.jpg,47,154,598,369,3,0,Acura TL Sedan 2012
175,000176.jpg,26,49,477,288,3,0,Acura TL Sedan 2012
176,000177.jpg,189,174,800,542,3,0,Acura TL Sedan 2012
177,000178.jpg,147,202,1066,629,3,0,Acura TL Sedan 2012
178,000179.jpg,35,12,448,331,3,0,Acura TL Sedan 2012
179,000180.jpg,54,107,543,344,3,0,Acura TL Sedan 2012
180,000181.jpg,1,66,619,339,3,0,Acura TL Sedan 2012
181,000182.jpg,178,424,1828,1090,3,0,Acura TL Sedan 2012
182,000183.jpg,14,84,627,398,3,0,Acura TL Sedan 2012
183,000184.jpg,3,47,296,183,3,0,Acura TL Sedan 2012
184,000185.jpg,28,34,297,182,3,0,Acura TL Sedan 2012
185,000186.jpg,79,84,528,327,3,0,Acura TL Sedan 2012
186,000187.jpg,15,14,278,171,3,0,Acura TL Sedan 2012
187,000188.jpg,22,101,380,235,3,0,Acura TL Sedan 2012
188,000189.jpg,1,1,1484,900,3,0,Acura TL Sedan 2012
189,000190.jpg,51,57,590,402,3,0,Acura TL Sedan 2012
190,000191.jpg,71,192,594,465,3,0,Acura TL Sedan 2012
191,000192.jpg,283,298,1405,979,3,0,Acura TL Sedan 2012
192,000193.jpg,15,9,468,408,3,0,Acura TL Sedan 2012
193,000194.jpg,373,56,2663,1915,3,0,Acura TL Sedan 2012
194,000195.jpg,14,67,482,302,3,0,Acura TL Sedan 2012
195,000196.jpg,84,13,562,311,3,0,Acura TL Sedan 2012
196,000197.jpg,18,97,282,203,3,1,Acura TL Sedan 2012
197,000198.jpg,5,109,385,255,3,1,Acura TL Sedan 2012
198,000199.jpg,55,62,204,178,3,1,Acura TL Sedan 2012
199,000200.jpg,17,52,376,289,3,1,Acura TL Sedan 2012
200,000201.jpg,45,86,532,334,3,1,Acura TL Sedan 2012
201,000202.jpg,32,126,997,627,3,1,Acura TL Sedan 2012
202,000203.jpg,104,11,1997,1144,3,1,Acura TL Sedan 2012
203,000204.jpg,13,27,778,368,3,1,Acura TL Sedan 2012
204,000205.jpg,14,79,242,166,3,1,Acura TL Sedan 2012
205,000206.jpg,12,68,285,193,3,1,Acura TL Sedan 2012
206,000207.jpg,30,76,360,202,3,1,Acura TL Sedan 2012
207,000208.jpg,73,41,422,296,3,1,Acura TL Sedan 2012
208,000209.jpg,19,156,595,468,3,1,Acura TL Sedan 2012
209,000210.jpg,1,65,271,180,3,1,Acura TL Sedan 2012
210,000211.jpg,16,58,597,361,3,1,Acura TL Sedan 2012
211,000212.jpg,123,34,714,436,3,1,Acura TL Sedan 2012
212,000213.jpg,78,146,472,347,3,1,Acura TL Sedan 2012
213,000214.jpg,32,71,548,281,3,1,Acura TL Sedan 2012
214,000215.jpg,43,74,581,350,3,1,Acura TL Sedan 2012
215,000216.jpg,51,54,246,186,3,1,Acura TL Sedan 2012
216,000217.jpg,17,53,230,171,3,1,Acura TL Sedan 2012
217,000218.jpg,128,159,879,521,3,1,Acura TL Sedan 2012
218,000219.jpg,153,152,802,480,3,1,Acura TL Sedan 2012
219,000220.jpg,89,182,719,467,3,1,Acura TL Sedan 2012
220,000221.jpg,52,94,470,304,3,1,Acura TL Sedan 2012
221,000222.jpg,16,9,289,193,3,1,Acura TL Sedan 2012
222,000223.jpg,121,133,674,544,3,1,Acura TL Sedan 2012
223,000224.jpg,56,53,250,192,3,1,Acura TL Sedan 2012
224,000225.jpg,52,28,546,336,3,1,Acura TL Sedan 2012
225,000226.jpg,157,47,796,315,3,1,Acura TL Sedan 2012
226,000227.jpg,44,58,389,312,3,1,Acura TL Sedan 2012
227,000228.jpg,65,33,485,351,3,1,Acura TL Sedan 2012
228,000229.jpg,39,64,386,246,3,1,Acura TL Sedan 2012
229,000230.jpg,73,69,542,373,3,1,Acura TL Sedan 2012
230,000231.jpg,22,84,779,466,3,1,Acura TL Sedan 2012
231,000232.jpg,49,97,396,260,3,1,Acura TL Sedan 2012
232,000233.jpg,14,165,574,387,3,1,Acura TL Sedan 2012
233,000234.jpg,10,142,478,348,3,1,Acura TL Sedan 2012
234,000235.jpg,17,92,288,198,3,1,Acura TL Sedan 2012
235,000236.jpg,12,101,637,383,3,1,Acura TL Sedan 2012
236,000237.jpg,19,23,698,284,3,1,Acura TL Sedan 2012
237,000238.jpg,168,172,877,592,3,1,Acura TL Sedan 2012
238,000239.jpg,9,22,248,173,3,1,Acura TL Sedan 2012
239,000240.jpg,147,215,1468,786,4,0,Acura TL Type-S 2008
240,000241.jpg,24,341,1001,696,4,0,Acura TL Type-S 2008
241,000242.jpg,30,26,589,373,4,0,Acura TL Type-S 2008
242,000243.jpg,57,50,388,218,4,0,Acura TL Type-S 2008
243,000244.jpg,58,146,943,553,4,0,Acura TL Type-S 2008
244,000245.jpg,45,79,795,507,4,0,Acura TL Type-S 2008
245,000246.jpg,66,277,932,564,4,0,Acura TL Type-S 2008
246,000247.jpg,62,220,992,667,4,0,Acura TL Type-S 2008
247,000248.jpg,62,149,560,323,4,0,Acura TL Type-S 2008
248,000249.jpg,30,152,602,421,4,0,Acura TL Type-S 2008
249,000250.jpg,51,71,588,375,4,0,Acura TL Type-S 2008
250,000251.jpg,18,69,485,260,4,0,Acura TL Type-S 2008
251,000252.jpg,39,47,452,227,4,0,Acura TL Type-S 2008
252,000253.jpg,71,145,629,460,4,0,Acura TL Type-S 2008
253,000254.jpg,48,59,612,432,4,0,Acura TL Type-S 2008
254,000255.jpg,13,46,488,295,4,0,Acura TL Type-S 2008
255,000256.jpg,62,176,400,330,4,0,Acura TL Type-S 2008
256,000257.jpg,18,149,621,354,4,0,Acura TL Type-S 2008
257,000258.jpg,9,97,493,252,4,0,Acura TL Type-S 2008
258,000259.jpg,89,134,1194,699,4,0,Acura TL Type-S 2008
259,000260.jpg,23,94,402,269,4,0,Acura TL Type-S 2008
260,000261.jpg,29,444,1253,928,4,0,Acura TL Type-S 2008
261,000262.jpg,22,88,479,312,4,0,Acura TL Type-S 2008
262,000263.jpg,69,8,432,325,4,0,Acura TL Type-S 2008
263,000264.jpg,16,55,560,382,4,0,Acura TL Type-S 2008
264,000265.jpg,37,93,608,404,4,0,Acura TL Type-S 2008
265,000266.jpg,56,23,776,372,4,0,Acura TL Type-S 2008
266,000267.jpg,78,153,594,421,4,0,Acura TL Type-S 2008
267,000268.jpg,66,114,597,407,4,0,Acura TL Type-S 2008
268,000269.jpg,185,495,1497,964,4,0,Acura TL Type-S 2008
269,000270.jpg,39,29,470,286,4,0,Acura TL Type-S 2008
270,000271.jpg,33,182,617,386,4,0,Acura TL Type-S 2008
271,000272.jpg,107,261,893,610,4,0,Acura TL Type-S 2008
272,000273.jpg,5,36,623,357,4,0,Acura TL Type-S 2008
273,000274.jpg,73,86,441,306,4,0,Acura TL Type-S 2008
274,000275.jpg,42,170,591,389,4,0,Acura TL Type-S 2008
275,000276.jpg,2,50,617,488,4,0,Acura TL Type-S 2008
276,000277.jpg,14,135,605,445,4,0,Acura TL Type-S 2008
277,000278.jpg,31,75,480,308,4,0,Acura TL Type-S 2008
278,000279.jpg,69,83,544,372,4,0,Acura TL Type-S 2008
279,000280.jpg,63,106,435,329,4,0,Acura TL Type-S 2008
280,000281.jpg,58,85,532,433,4,0,Acura TL Type-S 2008
281,000282.jpg,28,127,477,302,4,1,Acura TL Type-S 2008
282,000283.jpg,16,29,782,330,4,1,Acura TL Type-S 2008
283,000284.jpg,9,2,792,404,4,1,Acura TL Type-S 2008
284,000285.jpg,23,120,573,340,4,1,Acura TL Type-S 2008
285,000286.jpg,118,46,474,301,4,1,Acura TL Type-S 2008
286,000287.jpg,34,118,555,380,4,1,Acura TL Type-S 2008
287,000288.jpg,29,42,593,394,4,1,Acura TL Type-S 2008
288,000289.jpg,15,35,443,272,4,1,Acura TL Type-S 2008
289,000290.jpg,18,27,625,436,4,1,Acura TL Type-S 2008
290,000291.jpg,20,157,432,309,4,1,Acura TL Type-S 2008
291,000292.jpg,30,56,418,301,4,1,Acura TL Type-S 2008
292,000293.jpg,32,26,475,213,4,1,Acura TL Type-S 2008
293,000294.jpg,29,33,624,331,4,1,Acura TL Type-S 2008
294,000295.jpg,21,41,786,297,4,1,Acura TL Type-S 2008
295,000296.jpg,42,133,681,447,4,1,Acura TL Type-S 2008
296,000297.jpg,55,262,994,602,4,1,Acura TL Type-S 2008
297,000298.jpg,49,268,988,702,4,1,Acura TL Type-S 2008
298,000299.jpg,21,34,472,309,4,1,Acura TL Type-S 2008
299,000300.jpg,68,166,1151,704,4,1,Acura TL Type-S 2008
300,000301.jpg,11,65,484,304,4,1,Acura TL Type-S 2008
301,000302.jpg,555,520,2755,1743,4,1,Acura TL Type-S 2008
302,000303.jpg,18,187,996,704,4,1,Acura TL Type-S 2008
303,000304.jpg,63,110,710,451,4,1,Acura TL Type-S 2008
304,000305.jpg,64,187,959,617,4,1,Acura TL Type-S 2008
305,000306.jpg,40,157,482,311,4,1,Acura TL Type-S 2008
306,000307.jpg,159,179,1320,780,4,1,Acura TL Type-S 2008
307,000308.jpg,26,129,586,334,4,1,Acura TL Type-S 2008
308,000309.jpg,19,151,630,404,4,1,Acura TL Type-S 2008
309,000310.jpg,32,74,613,368,4,1,Acura TL Type-S 2008
310,000311.jpg,145,337,1786,1027,4,1,Acura TL Type-S 2008
311,000312.jpg,21,160,488,301,4,1,Acura TL Type-S 2008
312,000313.jpg,114,124,923,587,4,1,Acura TL Type-S 2008
313,000314.jpg,10,80,468,320,4,1,Acura TL Type-S 2008
314,000315.jpg,69,105,412,280,4,1,Acura TL Type-S 2008
315,000316.jpg,29,122,1760,871,4,1,Acura TL Type-S 2008
316,000317.jpg,13,29,795,350,4,1,Acura TL Type-S 2008
317,000318.jpg,39,82,467,278,4,1,Acura TL Type-S 2008
318,000319.jpg,25,31,505,306,4,1,Acura TL Type-S 2008
319,000320.jpg,17,127,438,274,4,1,Acura TL Type-S 2008
320,000321.jpg,54,115,434,269,4,1,Acura TL Type-S 2008
321,000322.jpg,53,115,465,351,4,1,Acura TL Type-S 2008
322,000323.jpg,40,119,466,364,4,1,Acura TL Type-S 2008
323,000324.jpg,101,314,894,612,5,0,Acura TSX Sedan 2012
324,000325.jpg,19,49,283,191,5,0,Acura TSX Sedan 2012
325,000326.jpg,105,91,528,338,5,0,Acura TSX Sedan 2012
326,000327.jpg,126,227,885,551,5,0,Acura TSX Sedan 2012
327,000328.jpg,9,36,293,180,5,0,Acura TSX Sedan 2012
328,000329.jpg,4,7,299,124,5,0,Acura TSX Sedan 2012
329,000330.jpg,69,50,204,156,5,0,Acura TSX Sedan 2012
330,000331.jpg,31,119,404,248,5,0,Acura TSX Sedan 2012
331,000332.jpg,26,118,1009,541,5,0,Acura TSX Sedan 2012
332,000333.jpg,57,35,222,144,5,0,Acura TSX Sedan 2012
333,000334.jpg,26,37,241,166,5,0,Acura TSX Sedan 2012
334,000335.jpg,22,83,415,322,5,0,Acura TSX Sedan 2012
335,000336.jpg,27,9,270,128,5,0,Acura TSX Sedan 2012
336,000337.jpg,25,56,450,316,5,0,Acura TSX Sedan 2012
337,000338.jpg,172,393,1713,1063,5,0,Acura TSX Sedan 2012
338,000339.jpg,142,124,675,445,5,0,Acura TSX Sedan 2012
339,000340.jpg,39,89,457,334,5,0,Acura TSX Sedan 2012
340,000341.jpg,20,216,562,391,5,0,Acura TSX Sedan 2012
341,000342.jpg,93,101,404,274,5,0,Acura TSX Sedan 2012
342,000343.jpg,34,53,270,139,5,0,Acura TSX Sedan 2012
343,000344.jpg,45,62,247,190,5,0,Acura TSX Sedan 2012
344,000345.jpg,115,507,2457,1658,5,0,Acura TSX Sedan 2012
345,000346.jpg,33,67,404,283,5,0,Acura TSX Sedan 2012
346,000347.jpg,20,7,239,174,5,0,Acura TSX Sedan 2012
347,000348.jpg,52,35,246,174,5,0,Acura TSX Sedan 2012
348,000349.jpg,7,74,292,200,5,0,Acura TSX Sedan 2012
349,000350.jpg,5,25,271,177,5,0,Acura TSX Sedan 2012
350,000351.jpg,68,48,235,162,5,0,Acura TSX Sedan 2012
351,000352.jpg,15,58,246,139,5,0,Acura TSX Sedan 2012
352,000353.jpg,20,45,252,153,5,0,Acura TSX Sedan 2012
353,000354.jpg,35,79,271,185,5,0,Acura TSX Sedan 2012
354,000355.jpg,32,49,363,222,5,0,Acura TSX Sedan 2012
355,000356.jpg,24,38,246,172,5,0,Acura TSX Sedan 2012
356,000357.jpg,50,162,640,425,5,0,Acura TSX Sedan 2012
357,000358.jpg,36,185,990,629,5,0,Acura TSX Sedan 2012
358,000359.jpg,118,78,599,419,5,0,Acura TSX Sedan 2012
359,000360.jpg,38,29,380,177,5,0,Acura TSX Sedan 2012
360,000361.jpg,37,67,237,168,5,0,Acura TSX Sedan 2012
361,000362.jpg,19,63,307,170,5,0,Acura TSX Sedan 2012
362,000363.jpg,11,8,270,160,5,0,Acura TSX Sedan 2012
363,000364.jpg,8,37,294,150,5,0,Acura TSX Sedan 2012
364,000365.jpg,13,30,285,182,5,1,Acura TSX Sedan 2012
365,000366.jpg,281,141,1300,866,5,1,Acura TSX Sedan 2012
366,000367.jpg,40,41,278,151,5,1,Acura TSX Sedan 2012
367,000368.jpg,467,620,4238,2192,5,1,Acura TSX Sedan 2012
368,000369.jpg,36,80,851,563,5,1,Acura TSX Sedan 2012
369,000370.jpg,15,25,290,176,5,1,Acura TSX Sedan 2012
370,000371.jpg,34,75,375,295,5,1,Acura TSX Sedan 2012
371,000372.jpg,57,210,593,403,5,1,Acura TSX Sedan 2012
372,000373.jpg,74,75,574,334,5,1,Acura TSX Sedan 2012
373,000374.jpg,13,43,243,167,5,1,Acura TSX Sedan 2012
374,000375.jpg,61,27,889,333,5,1,Acura TSX Sedan 2012
375,000376.jpg,126,269,909,605,5,1,Acura TSX Sedan 2012
376,000377.jpg,100,76,697,449,5,1,Acura TSX Sedan 2012
377,000378.jpg,64,193,625,503,5,1,Acura TSX Sedan 2012
378,000379.jpg,31,43,246,146,5,1,Acura TSX Sedan 2012
379,000380.jpg,31,16,237,160,5,1,Acura TSX Sedan 2012
380,000381.jpg,66,61,272,159,5,1,Acura TSX Sedan 2012
381,000382.jpg,114,79,500,346,5,1,Acura TSX Sedan 2012
382,000383.jpg,10,45,258,164,5,1,Acura TSX Sedan 2012
383,000384.jpg,23,14,250,151,5,1,Acura TSX Sedan 2012
384,000385.jpg,346,264,1155,800,5,1,Acura TSX Sedan 2012
385,000386.jpg,83,95,353,280,5,1,Acura TSX Sedan 2012
386,000387.jpg,31,7,893,347,5,1,Acura TSX Sedan 2012
387,000388.jpg,62,98,274,205,5,1,Acura TSX Sedan 2012
388,000389.jpg,42,68,337,195,5,1,Acura TSX Sedan 2012
389,000390.jpg,166,139,611,353,5,1,Acura TSX Sedan 2012
390,000391.jpg,85,581,1505,1043,5,1,Acura TSX Sedan 2012
391,000392.jpg,91,214,955,604,5,1,Acura TSX Sedan 2012
392,000393.jpg,12,21,393,290,5,1,Acura TSX Sedan 2012
393,000394.jpg,53,99,420,245,5,1,Acura TSX Sedan 2012
394,000395.jpg,7,13,208,134,5,1,Acura TSX Sedan 2012
395,000396.jpg,25,221,702,453,5,1,Acura TSX Sedan 2012
396,000397.jpg,56,80,594,365,5,1,Acura TSX Sedan 2012
397,000398.jpg,14,88,404,264,5,1,Acura TSX Sedan 2012
398,000399.jpg,10,8,294,120,5,1,Acura TSX Sedan 2012
399,000400.jpg,47,64,270,176,5,1,Acura TSX Sedan 2012
400,000401.jpg,7,15,147,105,5,1,Acura TSX Sedan 2012
401,000402.jpg,78,187,959,560,5,1,Acura TSX Sedan 2012
